horas_estudio_semanal,nota_anterior,tasa_asistencia,horas_sueno,edad,nivel_dificultad,tiene_tutor,horario_estudio_preferido,estilo_aprendizaje,nota_final,aprobado,tiene_tutor_ml
8.12,41.1,83.84,6.33,23,medio,no,noche,lectura_escritura,61.3,1,0
1.0,67.71,49.94,5.47,22,medio,no,tarde,lectura_escritura,62.6,1,0
16.26,82.29,75.93,7.01,24,dificil,si,manana,lectura_escritura,78.1,1,1
11.34,68.25,59.44,4.83,26,medio,no,tarde,visual,75.7,1,0
12.72,86.89,87.48,8.38,27,medio,no,tarde,visual,67.2,1,0
19.48,78.16,68.81,7.99,24,medio,si,tarde,kinestesico,79.0,1,1
19.55,84.97,81.78,8.11,24,medio,si,noche,visual,69.0,1,1
19.19,85.16,95.97,7.45,21,facil,si,noche,auditivo,93.7,1,1
15.58,67.52,75.43,7.9,18,dificil,si,tarde,auditivo,75.0,1,1
1.0,59.51,33.93,6.57,25,medio,no,noche,visual,60.4,1,0
14.17,100.0,93.45,7.01,21,medio,si,manana,lectura_escritura,86.3,1,1
10.22,67.94,100.0,6.41,18,facil,no,manana,auditivo,78.3,1,0
10.97,77.64,76.73,7.01,22,medio,si,noche,visual,69.9,1,1
10.24,78.6,69.12,7.01,25,facil,no,manana,lectura_escritura,71.8,1,0
4.76,65.9,96.15,7.92,21,facil,no,manana,auditivo,66.4,1,0
5.13,59.22,81.99,6.12,29,medio,no,noche,visual,55.5,0,0
7.19,64.56,75.13,8.49,25,medio,no,tarde,auditivo,64.0,1,0
10.56,68.62,72.51,9.84,25,medio,no,noche,kinestesico,69.8,1,0
18.93,74.49,72.46,7.01,20,facil,si,tarde,kinestesico,78.5,1,1
19.4,71.79,62.09,5.12,26,medio,si,manana,kinestesico,65.3,1,1
14.81,77.13,75.33,7.01,20,facil,si,tarde,kinestesico,85.5,1,1
9.02,92.94,80.31,7.01,18,dificil,no,tarde,visual,68.1,1,0
12.57,100.0,100.0,7.01,19,medio,no,tarde,lectura_escritura,82.6,1,0
18.37,77.38,87.24,7.69,23,medio,si,tarde,lectura_escritura,80.6,1,1
1.0,68.47,51.11,7.32,29,medio,no,noche,visual,57.4,0,0
8.65,66.22,36.47,7.01,27,facil,si,noche,visual,70.2,1,1
6.66,71.04,78.35,7.88,19,dificil,no,tarde,lectura_escritura,65.1,1,0
8.4,64.48,60.44,6.81,23,facil,no,tarde,lectura_escritura,62.3,1,0
8.7,69.3,100.0,6.98,18,medio,no,tarde,lectura_escritura,77.5,1,0
5.27,58.98,88.85,6.76,28,medio,no,noche,lectura_escritura,77.5,1,0
7.34,74.61,52.39,9.4,18,facil,no,noche,auditivo,73.4,1,0
1.42,44.73,59.77,4.0,22,dificil,no,manana,auditivo,68.8,1,0
11.54,75.81,71.19,8.52,27,medio,si,noche,auditivo,72.1,1,1
24.39,94.96,79.84,7.01,28,facil,si,noche,visual,71.5,1,1
17.61,70.58,93.83,10.0,26,facil,si,manana,kinestesico,85.6,1,1
20.6,90.57,81.14,6.7,25,facil,si,manana,auditivo,91.4,1,1
17.13,77.81,100.0,6.97,20,dificil,si,tarde,auditivo,91.0,1,1
8.53,71.07,75.83,7.28,20,medio,si,noche,auditivo,66.6,1,1
13.56,63.74,81.46,7.01,18,facil,no,manana,auditivo,66.8,1,0
17.16,97.37,72.05,6.11,20,facil,si,noche,visual,77.8,1,1
1.0,43.57,100.0,8.61,29,medio,no,tarde,visual,48.8,0,0
11.72,66.37,86.58,6.39,29,medio,si,tarde,visual,71.1,1,1
11.59,72.86,71.85,7.22,29,medio,si,tarde,visual,81.2,1,1
4.53,58.48,87.85,10.0,28,medio,no,manana,lectura_escritura,65.3,1,0
10.13,84.78,88.1,5.35,18,facil,no,tarde,visual,76.1,1,0
16.96,72.48,83.56,9.45,25,medio,si,manana,visual,86.4,1,1
7.41,72.51,72.56,5.71,18,dificil,no,tarde,visual,63.3,1,0
7.31,55.99,86.76,5.35,22,facil,no,manana,auditivo,81.2,1,0
5.74,57.28,48.44,6.82,26,medio,no,tarde,visual,79.4,1,0
9.86,76.59,65.61,7.62,24,medio,no,manana,kinestesico,77.0,1,0
13.45,62.7,62.76,7.07,21,medio,no,noche,kinestesico,64.8,1,0
16.76,98.43,78.45,8.91,28,facil,si,noche,visual,86.1,1,1
13.0,62.58,47.57,7.98,26,dificil,si,manana,visual,71.2,1,1
1.0,77.98,86.52,6.2,26,medio,no,tarde,lectura_escritura,66.7,1,0
8.01,68.32,87.91,4.09,19,medio,no,manana,kinestesico,80.4,1,0
8.13,56.84,79.58,7.01,27,medio,no,tarde,kinestesico,73.0,1,0
1.0,33.87,33.07,5.72,27,facil,no,tarde,visual,58.7,0,0
12.14,74.45,74.42,7.94,28,facil,no,tarde,auditivo,68.4,1,0
5.29,61.05,60.37,7.01,29,medio,no,tarde,auditivo,55.1,0,0
4.42,59.94,55.12,7.01,23,facil,no,noche,visual,68.8,1,0
12.04,77.55,100.0,7.61,21,medio,si,tarde,auditivo,73.6,1,1
6.23,62.19,71.7,6.65,25,medio,no,tarde,auditivo,63.1,1,0
14.54,61.84,92.77,10.0,29,medio,si,tarde,visual,80.9,1,1
6.31,57.6,61.78,4.95,28,medio,no,noche,kinestesico,71.6,1,0
8.45,75.93,94.96,5.93,24,medio,no,noche,kinestesico,83.9,1,0
8.15,91.38,38.77,6.51,24,facil,no,tarde,visual,65.3,1,0
16.21,90.67,86.94,8.15,28,medio,no,noche,kinestesico,74.3,1,0
7.82,80.25,76.53,6.24,27,medio,no,noche,visual,73.0,1,0
11.67,87.47,51.71,6.36,26,medio,no,noche,kinestesico,73.6,1,0
9.09,50.7,62.33,7.01,22,facil,no,noche,visual,82.1,1,0
2.19,54.2,68.22,7.42,23,medio,no,manana,visual,62.5,1,0
11.61,86.96,77.84,7.35,18,facil,no,noche,auditivo,86.9,1,0
8.73,99.39,54.37,7.79,23,facil,si,tarde,auditivo,79.3,1,1
1.0,46.03,46.22,5.13,19,facil,no,tarde,visual,64.6,1,0
7.57,57.65,93.76,8.08,23,dificil,no,tarde,visual,62.9,1,0
7.53,59.47,82.53,6.51,26,facil,no,noche,visual,69.9,1,0
4.62,86.47,99.41,6.54,25,facil,no,manana,auditivo,83.7,1,0
9.03,65.83,76.33,6.69,26,facil,no,manana,auditivo,82.5,1,0
1.25,47.98,48.32,9.0,27,facil,no,noche,visual,69.4,1,0
10.08,69.68,71.55,4.74,25,medio,no,manana,visual,74.0,1,0
15.51,64.96,83.01,7.77,20,facil,si,manana,kinestesico,85.9,1,1
18.42,75.56,100.0,6.73,25,facil,si,manana,lectura_escritura,62.6,1,1
15.61,83.05,66.82,8.9,23,medio,si,tarde,lectura_escritura,67.5,1,1
5.31,54.72,58.68,6.74,23,medio,no,tarde,visual,70.8,1,0
3.79,30.0,67.69,8.47,23,medio,no,manana,kinestesico,58.6,0,0
9.05,53.8,78.0,7.53,20,medio,no,noche,visual,79.8,1,0
3.65,55.4,56.71,8.56,27,facil,no,noche,kinestesico,61.2,1,0
10.95,100.0,100.0,7.01,18,medio,no,noche,auditivo,83.4,1,0
12.62,85.09,78.51,6.52,29,facil,no,noche,lectura_escritura,69.8,1,0
1.0,60.68,60.24,6.39,21,medio,no,tarde,kinestesico,65.3,1,0
8.24,69.94,69.33,7.01,27,medio,no,noche,lectura_escritura,75.6,1,0
12.13,89.47,98.89,6.31,29,facil,no,noche,kinestesico,89.3,1,0
11.95,45.33,80.36,7.43,23,medio,no,manana,lectura_escritura,84.3,1,0
8.08,74.76,90.84,7.79,28,dificil,si,noche,kinestesico,75.3,1,1
5.67,76.46,40.23,4.72,29,dificil,no,tarde,auditivo,62.0,1,0
15.77,66.68,51.91,6.59,27,medio,si,tarde,visual,67.9,1,1
9.31,66.56,51.51,6.93,19,medio,no,noche,visual,61.9,1,0
6.76,89.39,99.73,5.61,24,facil,si,noche,visual,68.5,1,1
12.65,70.7,55.21,8.68,24,facil,si,noche,auditivo,77.9,1,1
12.02,70.43,47.95,5.45,28,medio,no,noche,auditivo,70.1,1,0
5.85,92.7,51.61,5.77,21,medio,si,manana,auditivo,74.8,1,1
5.72,78.55,84.9,5.96,21,dificil,no,noche,lectura_escritura,66.1,1,0
2.39,59.61,69.02,8.99,18,medio,no,tarde,lectura_escritura,61.7,1,0
7.64,62.87,60.04,7.73,19,medio,si,noche,visual,72.8,1,1
18.69,77.09,68.86,6.62,26,medio,si,noche,visual,75.8,1,1
11.52,98.9,100.0,8.25,27,dificil,no,noche,auditivo,77.2,1,0
10.9,74.37,61.84,5.79,25,medio,no,noche,visual,54.6,0,0
1.0,57.76,51.21,7.01,25,medio,no,tarde,kinestesico,59.7,0,0
4.18,55.76,91.32,5.86,26,medio,no,noche,auditivo,66.7,1,0
9.84,57.86,62.88,8.07,24,dificil,no,tarde,auditivo,56.7,0,0
1.31,30.0,39.28,7.01,26,facil,no,noche,lectura_escritura,54.0,0,0
14.13,72.44,79.63,4.5,27,dificil,si,noche,kinestesico,77.2,1,1
7.24,69.45,54.62,5.91,29,medio,no,manana,visual,72.0,1,0
11.12,49.43,82.1,5.66,19,medio,si,noche,kinestesico,76.9,1,1
10.04,54.84,67.58,8.41,23,medio,si,noche,auditivo,70.3,1,1
14.55,77.77,53.94,7.01,20,medio,si,noche,visual,70.3,1,1
6.88,63.04,66.77,6.08,28,facil,no,noche,visual,66.0,1,0
1.87,64.07,68.7,6.05,23,dificil,no,tarde,auditivo,70.6,1,0
7.5,48.52,53.5,7.45,20,medio,si,manana,visual,69.8,1,1
5.03,75.08,67.42,5.6,25,medio,no,manana,visual,72.7,1,0
6.09,84.72,67.53,7.34,28,facil,no,noche,kinestesico,77.4,1,0
16.18,67.26,68.75,7.01,21,medio,no,noche,kinestesico,74.6,1,0
7.15,64.03,27.7,7.63,29,medio,si,noche,visual,59.4,0,1
12.84,68.78,83.78,7.7,27,medio,no,noche,visual,75.5,1,0
6.28,56.39,35.81,7.01,23,medio,no,noche,kinestesico,68.9,1,0
12.39,80.78,93.22,7.01,26,medio,si,manana,visual,84.3,1,1
17.9,71.22,73.17,7.01,19,dificil,si,manana,lectura_escritura,73.9,1,1
17.86,95.75,69.95,7.01,19,medio,si,manana,auditivo,74.6,1,1
17.09,82.94,77.44,9.14,24,dificil,si,tarde,visual,72.3,1,1
16.29,83.72,73.52,7.07,19,facil,no,tarde,visual,76.0,1,0
1.68,43.21,79.07,8.07,19,medio,no,manana,visual,66.4,1,0
10.42,72.74,41.1,4.92,21,medio,no,tarde,visual,57.3,0,0
7.09,61.71,75.73,6.04,26,medio,si,manana,visual,72.9,1,1
4.49,56.62,54.96,5.16,25,dificil,no,noche,auditivo,70.0,1,0
9.82,52.68,70.73,6.03,19,facil,si,tarde,visual,62.0,1,1
7.27,64.52,70.21,8.27,25,facil,si,tarde,auditivo,76.1,1,1
6.16,76.09,89.05,7.04,21,dificil,no,tarde,auditivo,71.5,1,0
6.94,42.22,33.51,7.01,19,facil,no,noche,visual,71.0,1,0
7.06,73.75,62.82,6.48,28,medio,no,manana,visual,66.4,1,0
13.03,87.62,83.18,8.53,27,medio,si,tarde,visual,69.1,1,1
5.11,48.31,66.11,7.12,24,dificil,no,noche,visual,56.4,0,0
8.79,83.95,74.97,5.78,23,facil,no,tarde,visual,69.7,1,0
6.71,51.45,70.16,7.67,27,facil,si,noche,visual,64.5,1,1
7.35,74.57,37.97,4.0,22,medio,no,tarde,kinestesico,63.1,1,0
3.24,77.04,86.23,7.01,28,dificil,no,noche,auditivo,66.1,1,0
7.78,86.33,100.0,7.01,18,medio,no,manana,auditivo,74.7,1,0
2.91,55.15,63.48,7.01,19,medio,no,noche,auditivo,67.5,1,0
10.66,51.85,73.22,8.08,25,medio,si,tarde,kinestesico,61.9,1,1
9.06,52.53,65.5,7.08,18,dificil,no,manana,visual,67.0,1,0
6.06,68.66,56.78,5.62,20,dificil,no,tarde,visual,67.1,1,0
8.48,95.27,88.16,4.0,19,dificil,no,tarde,auditivo,89.4,1,0
6.92,68.17,75.28,7.01,22,facil,no,manana,visual,62.7,1,0
10.91,65.79,32.61,7.37,21,facil,si,noche,visual,59.1,0,1
12.21,76.83,69.64,4.0,24,medio,si,noche,auditivo,75.3,1,1
8.8,42.43,85.82,7.01,22,dificil,no,manana,auditivo,71.5,1,0
4.13,72.02,76.58,7.95,25,facil,si,noche,auditivo,62.6,1,1
8.28,87.17,84.62,5.52,21,facil,si,noche,auditivo,63.6,1,1
15.68,83.89,83.5,9.08,29,medio,si,tarde,kinestesico,83.4,1,1
13.72,56.9,71.14,8.94,23,facil,no,tarde,kinestesico,76.1,1,0
10.48,82.14,100.0,9.64,21,medio,no,tarde,auditivo,62.4,1,0
8.21,59.7,78.56,10.0,19,medio,no,noche,kinestesico,62.5,1,0
14.39,77.21,70.37,7.44,18,medio,si,noche,lectura_escritura,91.6,1,1
10.74,65.12,96.77,8.37,18,medio,no,noche,auditivo,70.9,1,0
13.79,73.17,76.03,9.11,25,medio,si,manana,auditivo,64.2,1,1
17.3,85.6,100.0,5.07,21,medio,si,tarde,kinestesico,75.1,1,1
13.08,56.05,74.92,6.24,22,medio,si,noche,auditivo,60.9,1,1
10.36,83.21,78.05,9.18,28,medio,si,manana,visual,63.4,1,1
6.57,55.87,62.7,7.12,25,medio,no,noche,lectura_escritura,69.4,1,0
18.99,82.83,100.0,8.6,29,facil,si,noche,visual,74.6,1,1
15.29,100.0,77.04,7.01,24,facil,no,manana,kinestesico,85.8,1,0
18.08,63.7,49.38,8.55,25,facil,si,noche,kinestesico,78.4,1,1
8.09,62.66,67.64,8.45,25,facil,no,tarde,lectura_escritura,56.5,0,0
10.23,60.27,74.02,7.68,23,medio,si,noche,visual,59.2,0,1
11.07,49.62,72.36,7.01,27,dificil,no,tarde,auditivo,74.2,1,0
11.63,85.35,89.43,5.23,19,medio,no,tarde,auditivo,81.5,1,0
12.56,67.83,76.48,6.13,23,medio,si,noche,visual,63.8,1,1
3.11,69.72,73.32,6.07,18,medio,no,noche,visual,72.0,1,0
1.19,52.16,37.68,6.85,18,medio,no,manana,auditivo,69.3,1,0
16.89,79.27,62.27,8.2,28,medio,no,tarde,auditivo,77.0,1,0
14.24,71.56,92.11,7.01,20,facil,si,noche,visual,73.9,1,1
5.43,59.32,84.28,7.91,20,facil,no,noche,auditivo,62.7,1,0
12.0,93.31,97.05,8.53,28,medio,no,tarde,kinestesico,79.9,1,0
20.17,81.98,70.01,6.53,22,dificil,si,tarde,kinestesico,77.5,1,1
9.77,82.56,80.98,6.32,18,facil,no,tarde,lectura_escritura,84.3,1,0
20.48,90.48,69.54,7.56,27,facil,si,manana,auditivo,75.0,1,1
9.49,54.46,65.83,7.21,23,medio,si,manana,lectura_escritura,56.8,0,1
14.19,60.18,50.48,6.55,24,facil,si,manana,lectura_escritura,71.5,1,1
14.01,83.38,85.76,7.63,27,dificil,si,tarde,visual,73.0,1,1
11.27,50.26,38.51,5.39,29,medio,no,noche,visual,56.5,0,0
8.04,59.17,100.0,4.71,28,dificil,si,manana,auditivo,55.9,0,1
8.35,64.76,63.36,6.35,20,medio,no,noche,auditivo,62.7,1,0
11.8,96.79,81.25,5.05,21,medio,si,noche,auditivo,76.8,1,1
15.87,100.0,100.0,7.01,27,medio,si,noche,auditivo,89.2,1,1
10.19,34.52,47.31,7.23,28,medio,no,noche,kinestesico,57.1,0,0
6.18,78.91,90.03,5.3,27,medio,no,noche,auditivo,71.1,1,0
7.69,70.96,63.66,4.06,29,facil,no,manana,visual,70.4,1,0
15.07,62.75,94.79,7.44,27,medio,si,tarde,visual,65.1,1,1
5.07,54.91,68.59,6.18,27,medio,no,noche,visual,75.8,1,0
13.58,69.08,59.84,7.03,27,dificil,no,tarde,lectura_escritura,60.5,1,0
4.91,52.23,43.4,4.26,20,medio,no,noche,visual,54.7,0,0
12.52,86.61,62.21,7.05,18,medio,no,manana,lectura_escritura,64.3,1,0
4.69,69.42,81.67,7.55,25,facil,no,noche,visual,72.6,1,0
4.73,65.86,70.47,6.53,27,medio,no,tarde,visual,65.7,1,0
6.99,85.41,68.28,8.21,27,medio,no,noche,visual,72.2,1,0
12.17,74.69,74.72,7.44,19,dificil,no,tarde,kinestesico,63.0,1,0
5.5,68.06,42.68,7.93,18,dificil,si,noche,lectura_escritura,63.1,1,1
12.63,77.3,57.6,8.65,25,facil,no,noche,auditivo,68.2,1,0
6.34,71.49,59.09,7.63,24,dificil,no,tarde,lectura_escritura,68.5,1,0
16.73,83.44,53.23,6.97,24,facil,si,noche,auditivo,70.8,1,1
8.76,81.22,65.72,4.0,21,medio,no,tarde,auditivo,80.3,1,0
18.81,79.59,84.22,7.01,28,medio,si,manana,kinestesico,72.6,1,1
9.48,78.77,100.0,7.33,26,facil,no,manana,visual,63.8,1,0
3.57,53.67,69.75,5.97,23,medio,no,noche,visual,80.7,1,0
9.21,87.84,67.96,5.96,19,facil,si,tarde,lectura_escritura,71.3,1,1
5.35,41.57,55.61,4.64,18,facil,no,tarde,lectura_escritura,53.2,0,0
12.18,92.36,100.0,8.48,18,medio,no,noche,lectura_escritura,82.2,1,0
13.21,54.27,100.0,4.01,26,medio,si,noche,lectura_escritura,71.5,1,1
3.27,77.94,95.21,7.01,21,dificil,no,manana,visual,61.0,1,0
13.2,85.8,71.24,8.5,22,medio,si,manana,kinestesico,71.4,1,1
17.41,76.88,62.52,6.28,20,medio,si,noche,auditivo,93.6,1,1
14.08,63.87,83.61,7.01,21,medio,no,tarde,lectura_escritura,72.8,1,0
16.08,70.36,64.18,6.69,29,facil,no,manana,auditivo,61.5,1,0
14.95,69.38,69.28,8.55,25,facil,si,noche,auditivo,83.3,1,1
15.14,82.4,45.04,7.11,21,medio,si,noche,auditivo,80.3,1,1
13.98,75.89,77.24,7.01,26,medio,si,noche,visual,72.3,1,1
13.74,83.1,93.91,10.0,26,medio,no,manana,visual,81.8,1,0
9.01,80.63,100.0,7.42,23,medio,si,tarde,lectura_escritura,78.8,1,1
7.74,65.43,92.99,9.74,19,medio,no,tarde,kinestesico,67.2,1,0
1.0,30.0,64.24,7.97,29,facil,no,noche,visual,30.0,0,0
8.62,63.66,66.33,7.75,27,facil,si,tarde,kinestesico,87.4,1,1
10.41,66.95,50.05,7.54,28,dificil,no,manana,auditivo,60.1,1,0
15.9,70.24,71.39,7.01,24,medio,si,noche,auditivo,85.5,1,1
4.05,50.44,67.2,6.33,26,dificil,no,noche,visual,65.3,1,0
13.66,79.68,76.78,7.01,23,facil,no,tarde,lectura_escritura,69.7,1,0
13.06,53.11,83.23,7.01,20,dificil,si,tarde,kinestesico,75.4,1,1
11.25,50.87,57.16,7.48,24,facil,no,noche,auditivo,60.9,1,0
1.0,67.87,50.8,7.01,22,facil,no,tarde,auditivo,49.5,0,0
4.93,61.31,74.82,7.04,18,dificil,no,manana,visual,59.9,0,0
16.43,79.87,35.1,7.01,20,facil,si,tarde,auditivo,85.0,1,1
5.94,39.79,72.21,5.42,22,medio,no,manana,visual,62.2,1,0
4.44,35.11,53.85,5.24,24,facil,no,noche,visual,60.8,1,0
13.91,90.97,73.06,8.32,20,medio,no,manana,kinestesico,82.2,1,0
9.54,91.69,59.57,6.66,23,dificil,no,manana,lectura_escritura,71.3,1,0
25.0,73.32,82.74,8.1,22,medio,si,noche,auditivo,77.7,1,1
13.29,64.8,58.89,5.49,18,medio,si,noche,visual,76.5,1,1
6.13,63.25,79.22,4.99,27,facil,no,noche,visual,74.6,1,0
15.44,97.57,84.79,7.01,23,medio,si,tarde,lectura_escritura,56.9,0,1
2.31,53.25,55.85,5.69,25,medio,no,manana,visual,66.0,1,0
12.49,65.04,54.79,6.9,18,facil,no,noche,lectura_escritura,74.7,1,0
21.63,73.28,100.0,7.01,19,medio,si,noche,auditivo,83.9,1,1
19.26,73.47,66.5,7.16,21,facil,si,manana,kinestesico,88.6,1,1
10.33,84.36,45.93,5.65,29,dificil,si,noche,visual,67.4,1,1
10.21,60.22,20.0,9.57,19,medio,no,manana,visual,65.7,1,0
4.39,38.88,59.3,7.29,28,facil,no,noche,visual,55.6,0,0
10.06,80.11,83.07,6.62,26,medio,si,noche,auditivo,77.0,1,1
16.61,100.0,100.0,8.75,27,medio,no,noche,lectura_escritura,99.2,1,0
5.6,73.82,68.49,7.24,25,medio,no,noche,lectura_escritura,61.3,1,0
10.6,62.49,59.71,6.59,25,dificil,no,noche,visual,59.8,0,0
22.04,93.19,91.18,6.15,21,medio,si,manana,visual,79.1,1,1
16.99,96.43,85.53,7.01,22,dificil,no,tarde,visual,76.6,1,0
9.6,90.29,82.8,8.0,21,medio,no,manana,visual,69.2,1,0
5.01,68.59,66.22,7.36,26,facil,no,tarde,auditivo,74.7,1,0
11.84,67.98,67.74,7.01,19,medio,si,noche,lectura_escritura,75.7,1,1
17.34,69.76,93.14,5.03,28,medio,si,tarde,lectura_escritura,86.0,1,1
2.51,47.53,61.9,5.21,25,medio,no,tarde,kinestesico,47.8,0,0
6.79,65.94,21.97,6.91,19,dificil,no,tarde,kinestesico,69.0,1,0
3.36,86.06,82.58,7.01,18,medio,no,noche,auditivo,74.9,1,0
16.83,85.73,91.39,6.5,27,dificil,si,manana,visual,89.9,1,1
5.58,59.89,66.99,4.97,20,medio,no,tarde,auditivo,65.4,1,0
11.08,68.74,100.0,5.62,26,medio,si,manana,auditivo,78.9,1,1
3.87,56.51,83.12,8.57,29,medio,no,noche,kinestesico,78.4,1,0
13.35,96.08,78.1,7.85,20,medio,si,manana,visual,92.0,1,1
14.79,59.8,66.0,7.29,26,dificil,si,noche,visual,60.2,1,1
9.52,78.82,87.79,7.01,24,medio,no,tarde,visual,81.8,1,0
2.62,59.03,93.07,9.06,27,facil,no,manana,lectura_escritura,66.6,1,0
15.72,54.65,54.71,7.49,18,medio,no,noche,auditivo,71.3,1,0
11.31,60.55,53.41,5.8,27,medio,no,manana,kinestesico,58.4,0,0
4.99,64.44,67.26,9.78,22,facil,no,noche,kinestesico,63.1,1,0
7.21,62.96,58.61,8.01,26,facil,no,noche,visual,62.7,1,0
9.07,60.13,20.0,8.06,29,medio,si,tarde,auditivo,64.5,1,1
17.99,75.24,100.0,7.01,20,medio,si,tarde,lectura_escritura,73.8,1,1
10.31,82.19,67.8,6.6,26,medio,no,tarde,auditivo,73.4,1,0
14.87,90.01,97.33,8.1,22,facil,si,manana,lectura_escritura,81.4,1,1
15.63,71.38,63.77,7.01,26,facil,si,tarde,visual,81.2,1,1
14.93,68.36,83.39,9.48,27,medio,si,noche,visual,64.6,1,1
6.62,60.73,42.31,6.21,23,medio,no,noche,visual,56.0,0,0
7.3,48.41,83.67,7.85,26,facil,no,tarde,kinestesico,63.6,1,0
4.15,80.49,100.0,5.55,24,medio,no,tarde,lectura_escritura,70.0,1,0
20.98,96.25,61.02,7.13,24,medio,si,noche,kinestesico,91.1,1,1
9.59,54.01,79.38,6.22,25,facil,no,tarde,lectura_escritura,74.3,1,0
12.95,69.79,100.0,8.02,24,facil,si,manana,kinestesico,80.4,1,1
5.37,41.79,100.0,7.64,29,facil,no,manana,visual,73.4,1,0
2.77,55.09,50.59,8.86,26,dificil,no,manana,auditivo,54.7,0,0
13.77,78.03,100.0,5.91,28,medio,si,tarde,visual,74.3,1,1
12.26,73.63,100.0,8.15,26,medio,si,tarde,lectura_escritura,83.7,1,1
12.98,50.35,74.12,10.0,23,medio,si,noche,auditivo,79.5,1,1
14.22,68.55,52.77,5.89,24,medio,si,noche,auditivo,68.7,1,1
16.64,61.93,44.73,4.0,19,medio,si,noche,auditivo,83.5,1,1
5.63,54.78,53.13,7.01,26,medio,no,noche,auditivo,67.8,1,0
9.15,53.94,82.31,6.14,29,facil,no,tarde,auditivo,68.4,1,0
14.48,58.02,70.52,7.01,18,medio,si,tarde,visual,69.4,1,1
15.4,62.53,67.85,7.19,18,medio,si,tarde,lectura_escritura,66.2,1,1
4.08,45.19,53.04,7.55,20,medio,no,manana,auditivo,58.4,0,0
8.23,63.5,96.59,8.0,29,medio,no,tarde,auditivo,84.0,1,0
6.55,55.64,59.64,4.86,23,facil,no,noche,visual,66.2,1,0
15.49,67.03,52.67,7.84,22,medio,si,manana,visual,79.9,1,1
2.73,57.81,53.59,6.95,19,medio,no,manana,visual,60.7,1,0
1.0,46.17,87.12,9.63,26,dificil,no,noche,kinestesico,64.4,1,0
17.2,97.78,62.39,5.36,27,medio,si,noche,visual,83.0,1,1
7.86,77.6,73.57,7.01,21,medio,si,tarde,lectura_escritura,71.9,1,1
8.67,41.34,74.87,5.75,21,medio,no,noche,visual,63.0,1,0
8.69,95.42,100.0,6.17,22,dificil,no,tarde,visual,79.1,1,0
16.02,58.22,61.08,7.08,25,medio,si,manana,visual,69.8,1,1
13.67,65.39,53.32,8.72,27,medio,si,noche,visual,62.1,1,1
8.78,76.54,56.32,6.96,21,medio,no,tarde,kinestesico,68.0,1,0
5.87,55.28,99.63,8.38,22,medio,no,noche,lectura_escritura,48.2,0,0
18.53,82.45,95.29,9.42,29,dificil,si,manana,auditivo,79.7,1,1
9.23,46.93,55.69,7.31,21,facil,no,tarde,visual,73.5,1,0
1.53,45.04,86.46,6.32,23,facil,no,tarde,visual,67.1,1,0
10.03,74.29,87.67,7.01,29,dificil,no,tarde,auditivo,71.1,1,0
13.48,64.36,43.22,7.5,20,medio,no,manana,visual,75.8,1,0
12.78,92.47,56.63,7.01,25,medio,si,tarde,visual,89.1,1,1
2.66,43.02,59.5,6.93,23,medio,no,noche,kinestesico,68.7,1,0
6.82,49.33,100.0,8.3,27,facil,no,tarde,auditivo,74.1,1,0
14.75,74.84,72.16,7.98,22,medio,si,tarde,visual,80.6,1,1
5.9,36.15,56.93,4.47,19,medio,no,noche,auditivo,64.4,1,0
13.12,67.75,88.35,8.34,27,medio,si,tarde,visual,65.0,1,1
19.12,91.91,95.04,8.75,27,medio,si,tarde,kinestesico,76.9,1,1
15.97,64.72,100.0,6.27,24,dificil,si,noche,visual,88.7,1,1
8.74,67.14,70.62,5.98,19,facil,no,noche,kinestesico,75.5,1,0
22.88,100.0,100.0,6.74,18,dificil,si,tarde,visual,85.7,1,1
6.26,85.54,100.0,7.01,24,facil,no,tarde,lectura_escritura,65.3,1,0
7.68,84.6,70.83,5.86,22,medio,no,noche,visual,72.6,1,0
8.94,69.98,88.29,7.14,18,dificil,no,tarde,lectura_escritura,72.0,1,0
6.36,56.68,87.61,5.88,21,medio,no,tarde,kinestesico,65.6,1,0
12.36,71.94,76.28,4.79,29,medio,no,manana,lectura_escritura,60.0,1,0
7.67,73.01,37.09,6.22,21,medio,no,noche,auditivo,57.8,0,0
12.76,53.04,84.73,7.67,27,medio,si,tarde,kinestesico,55.8,0,1
14.2,85.22,71.95,7.76,24,facil,si,noche,visual,88.7,1,1
4.78,74.06,75.63,9.04,26,dificil,si,noche,visual,74.1,1,1
1.47,44.89,41.92,4.89,19,medio,no,manana,auditivo,61.4,1,0
6.77,42.83,57.68,4.0,29,medio,no,noche,visual,61.3,1,0
13.32,88.79,90.5,7.97,18,medio,si,noche,lectura_escritura,72.8,1,1
7.12,79.92,71.03,7.07,19,facil,no,tarde,visual,64.3,1,0
23.74,76.05,58.4,6.55,24,facil,si,manana,auditivo,72.5,1,1
7.89,69.12,77.69,10.0,27,medio,no,manana,auditivo,68.5,1,0
7.51,84.13,80.67,4.91,23,medio,no,tarde,auditivo,79.4,1,0
10.29,80.01,85.24,7.21,21,medio,no,tarde,kinestesico,66.7,1,0
2.14,49.52,50.9,5.28,18,dificil,no,noche,visual,70.6,1,0
4.0,54.07,63.6,7.38,18,facil,no,manana,auditivo,72.0,1,0
15.18,80.34,89.63,7.01,22,medio,si,noche,visual,87.4,1,1
1.0,74.33,84.5,7.26,18,facil,no,tarde,lectura_escritura,62.6,1,0
